#  Energy [eV]     Im_eps_xx
 
      2.87080     0.21311955E+02
      2.88441     0.21487900E+02
      2.89801     0.23088921E+02
      2.91162     0.21696551E+02
      2.92522     0.21651376E+02
      2.93883     0.21685126E+02
      2.95244     0.21814168E+02
      2.96604     0.22156592E+02
      2.97965     0.22680171E+02
      2.99325     0.22198145E+02
      3.00686     0.22149376E+02
      3.02046     0.22337531E+02
      3.03407     0.22715965E+02
      3.04768     0.22816950E+02
      3.06128     0.22913134E+02
      3.07489     0.22989085E+02
      3.08849     0.23101683E+02
      3.10210     0.23218473E+02
      3.11570     0.23344991E+02
      3.12931     0.23472728E+02
      3.14292     0.23499680E+02
      3.15652     0.23514801E+02
      3.17013     0.23603026E+02
      3.18373     0.23727314E+02
      3.19734     0.23865188E+02
      3.21094     0.23961610E+02
      3.22455     0.24109349E+02
      3.23816     0.24266257E+02
      3.25176     0.24441853E+02
      3.26537     0.24641082E+02
      3.27897     0.24741214E+02
      3.29258     0.24891946E+02
      3.30618     0.25074047E+02
      3.31979     0.25251350E+02
      3.33340     0.25441073E+02
      3.34700     0.25657603E+02
      3.36061     0.25902475E+02
      3.37421     0.26006806E+02
      3.38782     0.26241471E+02
      3.40142     0.26499613E+02
      3.41503     0.26829597E+02
      3.42864     0.27180502E+02
      3.44224     0.27561964E+02
      3.45585     0.28011348E+02
      3.46945     0.28381401E+02
      3.48306     0.28892238E+02
      3.49666     0.29550708E+02
      3.51027     0.30282280E+02
      3.52388     0.31104746E+02
      3.53748     0.32055367E+02
      3.55109     0.33954751E+02
      3.56469     0.35858144E+02
      3.57830     0.37795504E+02
      3.59190     0.39854665E+02
      3.60551     0.42128005E+02
      3.61912     0.44465891E+02
      3.63272     0.46824073E+02
      3.64633     0.49258092E+02
      3.65993     0.51901390E+02
      3.67354     0.55185630E+02
      3.68714     0.59157349E+02
      3.70075     0.65678257E+02
      3.71436     0.69025221E+02
      3.72796     0.69743937E+02
      3.74157     0.69596530E+02
      3.75517     0.69132140E+02
      3.76878     0.69504702E+02
      3.78238     0.64992872E+02
      3.79599     0.60294130E+02
      3.80960     0.56108436E+02
      3.82320     0.52111051E+02
      3.83681     0.48102946E+02
      3.85041     0.43978878E+02
      3.86402     0.39474634E+02
      3.87762     0.32535644E+02
      3.89123     0.30357489E+02
      3.90484     0.29742127E+02
      3.91844     0.29120309E+02
      3.93205     0.28542741E+02
      3.94565     0.28001577E+02
      3.95926     0.27481644E+02
      3.97286     0.26995431E+02
      3.98647     0.26546976E+02
      4.00008     0.26076480E+02
      4.01368     0.25624760E+02
      4.02729     0.25186250E+02
      4.04089     0.24763939E+02
      4.05450     0.24356830E+02
      4.06810     0.23960850E+02
      4.08171     0.23576513E+02
      4.09531     0.23181088E+02
      4.10892     0.22810366E+02
      4.12253     0.22452358E+02
      4.13613     0.22106108E+02
      4.14974     0.21764497E+02
      4.16334     0.21443290E+02
      4.17695     0.21103356E+02
      4.19055     0.20762432E+02
      4.20416     0.20491391E+02
      4.21777     0.20211041E+02
      4.23137     0.19931242E+02
      4.24498     0.19597203E+02
      4.25858     0.19223244E+02
      4.27219     0.18852482E+02
      4.28579     0.18486505E+02
      4.29940     0.18123789E+02
      4.31301     0.17790785E+02
      4.32661     0.17443692E+02
      4.34022     0.17117109E+02
      4.35382     0.16866586E+02
      4.36743     0.16657165E+02
      4.38103     0.16472730E+02
