# Energy [eV]  Re_eps_xx  Im_eps_xx
   3.932050  -0.102918E+02  0.313507E+02
   3.959260  -0.103653E+02  0.296494E+02
   3.986470  -0.103356E+02  0.282097E+02
   4.013680  -0.102618E+02  0.269719E+02
   4.040890  -0.101710E+02  0.258873E+02
   4.068100  -0.100742E+02  0.249200E+02
   4.095310  -0.997503E+01  0.240448E+02
   4.122530  -0.987399E+01  0.232434E+02
   4.149740  -0.977031E+01  0.225036E+02
   4.176950  -0.966233E+01  0.218153E+02
   4.204160  -0.954746E+01  0.211712E+02
   4.231370  -0.942172E+01  0.205662E+02
   4.258580  -0.927968E+01  0.199989E+02
   4.285790  -0.911623E+01  0.194728E+02
   4.313010  -0.892938E+01  0.189959E+02
   4.340220  -0.872291E+01  0.185796E+02
   4.367430  -0.850693E+01  0.182347E+02
   4.394640  -0.829797E+01  0.179692E+02
   4.421850  -0.811798E+01  0.177863E+02
   4.449060  -0.799445E+01  0.176821E+02
   4.476270  -0.796065E+01  0.176397E+02
   4.503490  -0.804737E+01  0.176175E+02
   4.530700  -0.825560E+01  0.175480E+02
   4.557910  -0.853561E+01  0.173742E+02
   4.585120  -0.881644E+01  0.170893E+02
   4.612330  -0.905168E+01  0.167261E+02
   4.639540  -0.922652E+01  0.163227E+02
   4.666750  -0.934419E+01  0.159081E+02
   4.693970  -0.941549E+01  0.154998E+02
   4.721180  -0.945169E+01  0.151065E+02
   4.748390  -0.946119E+01  0.147316E+02
   4.775600  -0.945014E+01  0.143772E+02
   4.802810  -0.942427E+01  0.140449E+02
   4.830020  -0.938923E+01  0.137352E+02
   4.857230  -0.935009E+01  0.134474E+02
   4.884450  -0.931120E+01  0.131800E+02
   4.911660  -0.927641E+01  0.129311E+02
   4.938870  -0.924911E+01  0.126984E+02
   4.966080  -0.923269E+01  0.124794E+02
   4.993290  -0.923123E+01  0.122709E+02
   5.020500  -0.924982E+01  0.120673E+02
   5.047710  -0.929189E+01  0.118575E+02
   5.074930  -0.935334E+01  0.116268E+02
   5.102140  -0.941953E+01  0.113646E+02
   5.129350  -0.947236E+01  0.110721E+02
   5.156560  -0.949974E+01  0.107595E+02
   5.183770  -0.949798E+01  0.104389E+02
   5.210980  -0.946843E+01  0.101196E+02
   5.238190  -0.941421E+01  0.980784E+01
   5.265400  -0.933872E+01  0.950776E+01
   5.292620  -0.924547E+01  0.922244E+01
   5.319830  -0.913838E+01  0.895411E+01
   5.347040  -0.902105E+01  0.870340E+01
   5.374250  -0.889637E+01  0.847034E+01
   5.401460  -0.876671E+01  0.825488E+01
   5.428670  -0.863433E+01  0.805708E+01
   5.455880  -0.850172E+01  0.787678E+01
   5.483100  -0.837149E+01  0.771341E+01
   5.510310  -0.824646E+01  0.756594E+01
   5.537520  -0.812923E+01  0.743242E+01
   5.564730  -0.802192E+01  0.731000E+01
   5.591940  -0.792545E+01  0.719511E+01
   5.619150  -0.783923E+01  0.708437E+01
   5.646360  -0.776170E+01  0.697541E+01
   5.673580  -0.769110E+01  0.686679E+01
   5.700790  -0.762577E+01  0.675797E+01
   5.728000  -0.756439E+01  0.664904E+01
   5.755210  -0.750641E+01  0.654050E+01
   5.782420  -0.745211E+01  0.643264E+01
   5.809630  -0.740231E+01  0.632504E+01
   5.836840  -0.735786E+01  0.621624E+01
   5.864060  -0.731892E+01  0.610352E+01
   5.891270  -0.728383E+01  0.598334E+01
   5.918480  -0.724784E+01  0.585279E+01
   5.945690  -0.720407E+01  0.571295E+01
   5.972900  -0.714819E+01  0.556967E+01
   6.000110  -0.708106E+01  0.542920E+01
   6.027320  -0.700602E+01  0.529452E+01
   6.054540  -0.692570E+01  0.516603E+01
   6.081750  -0.684151E+01  0.504358E+01
   6.108960  -0.675412E+01  0.492714E+01
   6.136170  -0.666420E+01  0.481701E+01
   6.163380  -0.657266E+01  0.471344E+01
   6.190590  -0.648046E+01  0.461642E+01
   6.217800  -0.638848E+01  0.452566E+01
   6.245020  -0.629738E+01  0.444070E+01
   6.272230  -0.620768E+01  0.436110E+01
   6.299440  -0.611966E+01  0.428638E+01
   6.326650  -0.603353E+01  0.421620E+01
   6.353860  -0.594957E+01  0.415028E+01
   6.381070  -0.586814E+01  0.408832E+01
   6.408280  -0.578964E+01  0.402983E+01
   6.435490  -0.571440E+01  0.397410E+01
   6.462710  -0.564242E+01  0.392020E+01
   6.489920  -0.557340E+01  0.386724E+01
   6.517130  -0.550659E+01  0.381445E+01
   6.544340  -0.544089E+01  0.376142E+01
   6.571550  -0.537504E+01  0.370838E+01
   6.598760  -0.530805E+01  0.365623E+01
   6.625970  -0.523960E+01  0.360633E+01
   6.653190  -0.517010E+01  0.355991E+01
   6.680400  -0.510055E+01  0.351789E+01
   6.707610  -0.503215E+01  0.348058E+01
   6.734820  -0.496611E+01  0.344770E+01
   6.762030  -0.490320E+01  0.341853E+01
   6.789240  -0.484371E+01  0.339239E+01
   6.816450  -0.478787E+01  0.336892E+01
   6.843670  -0.473620E+01  0.334768E+01
   6.870880  -0.468925E+01  0.332775E+01
   6.898090  -0.464698E+01  0.330782E+01
   6.925300  -0.460857E+01  0.328673E+01
   6.952510  -0.457277E+01  0.326406E+01
   6.979720  -0.453846E+01  0.324023E+01
   7.006930  -0.450524E+01  0.321619E+01
   7.034150  -0.447356E+01  0.319276E+01
   7.061360  -0.444442E+01  0.317018E+01
   7.088570  -0.441889E+01  0.314786E+01
   7.115780  -0.439760E+01  0.312449E+01
   7.142990  -0.438044E+01  0.309837E+01
   7.170200  -0.436638E+01  0.306782E+01
   7.197410  -0.435341E+01  0.303169E+01
   7.224630  -0.433892E+01  0.299005E+01
   7.251840  -0.432079E+01  0.294458E+01
   7.279050  -0.429834E+01  0.289763E+01
   7.306260  -0.427220E+01  0.285112E+01
   7.333470  -0.424354E+01  0.280600E+01
   7.360680  -0.421340E+01  0.276253E+01
   7.387890  -0.418256E+01  0.272057E+01
   7.415110  -0.415152E+01  0.267975E+01
   7.442320  -0.412050E+01  0.263960E+01
   7.469530  -0.408934E+01  0.259971E+01
   7.496740  -0.405769E+01  0.255981E+01
   7.523950  -0.402498E+01  0.251993E+01
   7.551160  -0.399063E+01  0.248061E+01
   7.578370  -0.395459E+01  0.244284E+01
   7.605580  -0.391750E+01  0.240748E+01
   7.632800  -0.388040E+01  0.237482E+01
   7.660010  -0.384436E+01  0.234454E+01
   7.687220  -0.380994E+01  0.231575E+01
   7.714430  -0.377708E+01  0.228754E+01
   7.741640  -0.374528E+01  0.225936E+01
   7.768850  -0.371398E+01  0.223109E+01
   7.796060  -0.368279E+01  0.220291E+01
   7.823280  -0.365153E+01  0.217508E+01
   7.850490  -0.362023E+01  0.214786E+01
   7.877700  -0.358897E+01  0.212141E+01
   7.904910  -0.355793E+01  0.209580E+01
   7.932120  -0.352723E+01  0.207100E+01
   7.959330  -0.349689E+01  0.204693E+01
   7.986540  -0.346684E+01  0.202363E+01
   8.013760  -0.343709E+01  0.200128E+01
   8.040970  -0.340786E+01  0.198011E+01
   8.068180  -0.337953E+01  0.196022E+01
   8.095390  -0.335258E+01  0.194151E+01
   8.122600  -0.332748E+01  0.192358E+01
   8.149810  -0.330447E+01  0.190585E+01
   8.177020  -0.328352E+01  0.188766E+01
   8.204240  -0.326436E+01  0.186842E+01
   8.231450  -0.324664E+01  0.184772E+01
   8.258660  -0.322989E+01  0.182513E+01
   8.285870  -0.321349E+01  0.180032E+01
   8.313080  -0.319655E+01  0.177315E+01
   8.340290  -0.317806E+01  0.174395E+01
   8.367500  -0.315725E+01  0.171356E+01
   8.394720  -0.313392E+01  0.168312E+01
   8.421930  -0.310848E+01  0.165360E+01
   8.449140  -0.308162E+01  0.162546E+01
   8.476350  -0.305395E+01  0.159876E+01
   8.503560  -0.302581E+01  0.157339E+01
   8.530770  -0.299742E+01  0.154927E+01
   8.557980  -0.296894E+01  0.152635E+01
   8.585200  -0.294057E+01  0.150455E+01
   8.612410  -0.291243E+01  0.148377E+01
   8.639620  -0.288459E+01  0.146392E+01
   8.666830  -0.285719E+01  0.144497E+01
   8.694040  -0.283039E+01  0.142671E+01
   8.721250  -0.280418E+01  0.140887E+01
   8.748460  -0.277834E+01  0.139128E+01
   8.775670  -0.275267E+01  0.137401E+01
   8.802890  -0.272715E+01  0.135720E+01
   8.830100  -0.270185E+01  0.134095E+01
   8.857310  -0.267688E+01  0.132526E+01
   8.884520  -0.265234E+01  0.131012E+01
   8.911730  -0.262833E+01  0.129544E+01
   8.938940  -0.260494E+01  0.128108E+01
   8.966150  -0.258214E+01  0.126685E+01
   8.993370  -0.255981E+01  0.125258E+01
   9.020580  -0.253780E+01  0.123823E+01
