# Energy [eV]  ref_ind_xx  extinct_xx
   3.932050  0.336935E+01  0.465234E+01
   3.959260  0.324374E+01  0.457025E+01
   3.986470  0.313910E+01  0.449328E+01
   4.013680  0.304928E+01  0.442267E+01
   4.040890  0.297007E+01  0.435802E+01
   4.068100  0.289871E+01  0.429846E+01
   4.095310  0.283344E+01  0.424304E+01
   4.122530  0.277307E+01  0.419093E+01
   4.149740  0.271687E+01  0.414146E+01
   4.176950  0.266430E+01  0.409400E+01
   4.204160  0.261505E+01  0.404795E+01
   4.231370  0.256904E+01  0.400271E+01
   4.258580  0.252659E+01  0.395769E+01
   4.285790  0.248845E+01  0.391263E+01
   4.313010  0.245566E+01  0.386777E+01
   4.340220  0.242925E+01  0.382415E+01
   4.367430  0.240982E+01  0.378341E+01
   4.394640  0.239736E+01  0.374771E+01
   4.421850  0.239095E+01  0.371950E+01
   4.449060  0.238861E+01  0.370134E+01
   4.476270  0.238665E+01  0.369550E+01
   4.503490  0.237919E+01  0.370242E+01
   4.530700  0.235981E+01  0.371810E+01
   4.557910  0.232616E+01  0.373452E+01
   4.585120  0.228179E+01  0.374473E+01
   4.612330  0.223233E+01  0.374633E+01
   4.639540  0.218213E+01  0.374008E+01
   4.666750  0.213368E+01  0.372784E+01
   4.693970  0.208806E+01  0.371153E+01
   4.721180  0.204549E+01  0.369266E+01
   4.748390  0.200586E+01  0.367215E+01
   4.775600  0.196910E+01  0.365069E+01
   4.802810  0.193513E+01  0.362891E+01
   4.830020  0.190374E+01  0.360742E+01
   4.857230  0.187463E+01  0.358669E+01
   4.884450  0.184743E+01  0.356710E+01
   4.911660  0.182180E+01  0.354899E+01
   4.938870  0.179730E+01  0.353262E+01
   4.966080  0.177352E+01  0.351825E+01
   4.993290  0.174990E+01  0.350619E+01
   5.020500  0.172550E+01  0.349674E+01
   5.047710  0.169892E+01  0.348973E+01
   5.074930  0.166864E+01  0.348392E+01
   5.102140  0.163421E+01  0.347709E+01
   5.129350  0.159667E+01  0.346724E+01
   5.156560  0.155778E+01  0.345347E+01
   5.183770  0.151909E+01  0.343593E+01
   5.210980  0.148157E+01  0.341518E+01
   5.238190  0.144580E+01  0.339184E+01
   5.265400  0.141214E+01  0.336643E+01
   5.292620  0.138082E+01  0.333948E+01
   5.319830  0.135196E+01  0.331152E+01
   5.347040  0.132553E+01  0.328300E+01
   5.374250  0.130143E+01  0.325424E+01
