# Energy [eV]  reflect_xx

   6.190590  0.678079E+00
   6.217800  0.677498E+00
   6.245020  0.676759E+00
   6.272230  0.675889E+00
   6.299440  0.674907E+00
   6.326650  0.673829E+00
   6.353860  0.672671E+00
   6.381070  0.671457E+00
   6.408280  0.670225E+00
   6.435490  0.669017E+00
   6.462710  0.667877E+00
   6.489920  0.666831E+00
   6.517130  0.665882E+00
   6.544340  0.664997E+00
   6.571550  0.664103E+00
   6.598760  0.663104E+00
   6.625970  0.661911E+00
   6.653190  0.660474E+00
   6.680400  0.658791E+00
   6.707610  0.656902E+00
   6.734820  0.654881E+00
   6.762030  0.652809E+00
   6.789240  0.650740E+00
   6.816450  0.648709E+00
   6.843670  0.646774E+00
   6.870880  0.645026E+00
   6.898090  0.643541E+00
   6.925300  0.642342E+00
   6.952510  0.641381E+00
   6.979720  0.640570E+00
   7.006930  0.639836E+00
   7.034150  0.639160E+00
   7.061360  0.638594E+00
   7.088570  0.638247E+00
   7.115780  0.638240E+00
   7.142990  0.638673E+00
   7.170200  0.639593E+00
   7.197410  0.640950E+00
   7.224630  0.642586E+00
   7.251840  0.644270E+00
   7.279050  0.645816E+00
   7.306260  0.647139E+00
   7.333470  0.648249E+00
   7.360680  0.649192E+00
   7.387890  0.650023E+00
   7.415110  0.650799E+00
   7.442320  0.651566E+00
   7.469530  0.652343E+00
   7.496740  0.653125E+00
   7.523950  0.653869E+00
   7.551160  0.654490E+00
   7.578370  0.654898E+00
   7.605580  0.655061E+00
   7.632800  0.655021E+00
   7.660010  0.654876E+00
   7.687220  0.654738E+00
   7.714430  0.654682E+00
   7.741640  0.654722E+00
   7.768850  0.654825E+00
   7.796060  0.654946E+00
   7.823280  0.655049E+00
   7.850490  0.655107E+00
   7.877700  0.655111E+00
   7.904910  0.655066E+00
   7.932120  0.654984E+00
   7.959330  0.654869E+00
   7.986540  0.654711E+00
   8.013760  0.654491E+00
   8.040970  0.654200E+00
   8.068180  0.653856E+00
   8.095390  0.653512E+00
   8.122600  0.653248E+00
   8.149810  0.653155E+00
   8.177020  0.653305E+00
   8.204240  0.653745E+00
   8.231450  0.654502E+00
   8.258660  0.655589E+00
   8.285870  0.657000E+00
   8.313080  0.658682E+00
   8.340290  0.660519E+00
   8.367500  0.662347E+00
   8.394720  0.664010E+00
   8.421930  0.665419E+00
   8.449140  0.666569E+00
   8.476350  0.667499E+00
   8.503560  0.668248E+00
   8.530770  0.668837E+00
   8.557980  0.669282E+00
   8.585200  0.669606E+00
   8.612410  0.669831E+00
   8.639620  0.669969E+00
   8.666830  0.670038E+00
   8.694040  0.670078E+00
   8.721250  0.670130E+00
   8.748460  0.670197E+00
   8.775670  0.670247E+00
   8.802890  0.670253E+00
   8.830100  0.670208E+00
   8.857310  0.670115E+00
   8.884520  0.669988E+00
   8.911730  0.669851E+00
   8.938940  0.669737E+00
   8.966150  0.669676E+00
   8.993370  0.669685E+00
   9.020580  0.669758E+00
   9.047790  0.669871E+00
   9.075000  0.670000E+00
   9.102210  0.670130E+00
   9.129420  0.670248E+00
   9.156630  0.670327E+00
   9.183850  0.670335E+00
   9.211060  0.670240E+00
   9.238270  0.670042E+00
   9.265480  0.669777E+00
   9.292690  0.669500E+00
   9.319900  0.669248E+00
   9.347110  0.669042E+00
   9.374330  0.668903E+00
   9.401540  0.668856E+00
   9.428750  0.668913E+00
   9.455960  0.669070E+00
   9.483170  0.669301E+00
   9.510380  0.669562E+00
   9.537590  0.669807E+00
   9.564810  0.669999E+00
   9.592020  0.670117E+00
   9.619230  0.670153E+00
   9.646440  0.670108E+00
   9.673650  0.669988E+00
   9.700860  0.669793E+00
   9.728070  0.669522E+00
   9.755290  0.669176E+00
   9.782500  0.668763E+00
   9.809710  0.668313E+00
   9.836920  0.667876E+00
   9.864130  0.667509E+00
   9.891340  0.667249E+00
   9.918550  0.667090E+00
   9.945760  0.666985E+00
   9.972980  0.666864E+00
  10.000190  0.666667E+00
  10.027400  0.666358E+00
  10.054610  0.665939E+00
  10.081820  0.665448E+00
  10.109030  0.664950E+00
  10.136240  0.664522E+00
  10.163460  0.664235E+00
  10.190670  0.664128E+00
  10.217880  0.664184E+00
  10.245090  0.664344E+00
  10.272300  0.664550E+00
  10.299510  0.664805E+00
  10.326720  0.665176E+00
  10.353940  0.665719E+00
  10.381150  0.666408E+00
  10.408360  0.667154E+00
  10.435570  0.667862E+00
  10.462780  0.668453E+00
  10.489990  0.668873E+00
  10.517200  0.669092E+00
  10.544420  0.669102E+00
  10.571630  0.668919E+00
  10.598840  0.668578E+00
  10.626050  0.668134E+00
  10.653260  0.667642E+00
  10.680470  0.667139E+00
  10.707680  0.666642E+00
  10.734900  0.666152E+00
  10.762110  0.665658E+00
  10.789320  0.665143E+00
  10.816530  0.664599E+00
  10.843740  0.664038E+00
  10.870950  0.663467E+00
  10.898160  0.662886E+00
  10.925380  0.662278E+00
  10.952590  0.661622E+00
  10.979800  0.660894E+00
  11.007010  0.660062E+00
  11.034220  0.659117E+00
  11.061430  0.658083E+00
  11.088640  0.657026E+00
  11.115850  0.656036E+00
  11.143070  0.655188E+00
  11.170280  0.654528E+00
  11.197490  0.654056E+00
  11.224700  0.653747E+00
  11.251910  0.653546E+00
  11.279120  0.653386E+00
  11.306330  0.653197E+00
  11.333550  0.652934E+00
  11.360760  0.652590E+00
  11.387970  0.652205E+00
  11.415180  0.651840E+00
  11.442390  0.651546E+00
  11.469600  0.651345E+00
  11.496810  0.651242E+00
  11.524030  0.651269E+00
  11.551240  0.651496E+00
  11.578450  0.651959E+00
  11.605660  0.652611E+00
  11.632870  0.653388E+00
  11.660080  0.654278E+00
  11.687290  0.655292E+00
  11.714510  0.656429E+00
  11.741720  0.657665E+00
  11.768930  0.658975E+00
  11.796140  0.660339E+00
  11.823350  0.661749E+00
  11.850560  0.663193E+00
  11.877770  0.664635E+00
  11.904990  0.666015E+00
  11.932200  0.667266E+00
  11.959410  0.668329E+00
  11.986620  0.669170E+00
  12.013830  0.669770E+00
  12.041040  0.670126E+00
  12.068250  0.670245E+00
  12.095470  0.670151E+00
  12.122680  0.669886E+00
  12.149890  0.669497E+00
  12.177100  0.669036E+00
  12.204310  0.668563E+00
  12.231520  0.668156E+00
  12.258730  0.667855E+00
  12.285940  0.667638E+00
  12.313160  0.667454E+00
  12.340370  0.667253E+00
  12.367580  0.666965E+00
  12.394790  0.666493E+00
  12.422000  0.665748E+00
  12.449210  0.664715E+00
  12.476420  0.663457E+00
  12.503640  0.662072E+00
  12.530850  0.660642E+00
  12.558060  0.659211E+00
  12.585270  0.657804E+00
  12.612480  0.656455E+00
  12.639690  0.655241E+00
  12.666900  0.654279E+00
  12.694120  0.653667E+00
  12.721330  0.653434E+00
  12.748540  0.653532E+00
  12.775750  0.653884E+00
  12.802960  0.654399E+00
  12.830170  0.654974E+00
  12.857380  0.655517E+00
  12.884600  0.655984E+00
